Rua Sarah Afonso 218, 4250 Porto, Portugal
Hospital da Prelada, 4250-449 Porto, Portugal
Avenida Montevideu 704, 4150-516 Porto, Portugal
Rua Dom Manuel II 3163, 4050-378 Porto, Portugal
Rua de Passos Manuel 158, 4000-382 Porto, Portugal
Rua Professor Álvaro Rodrigues 87, 4100 Porto, Portugal
Rua Vila Franca 913, 4450 Leça da Palmeira, Portugal
Rua Doutor Roberto Frias, 4200 Porto, Portugal
Praça Dona Maria II 798, 4760-111 Vila Nova de Famalicão, Portugal
Travessa Eixidos 134, 4760-143 Vila Nova de Famalicão, Portugal
Rua João Pinto Ribeiro 5, 3000-228 Coimbra, Portugal
Avenida Doutor Dias da Silva 113-115, 3000-228 Coimbra, Portugal
Avenida Dom Afonso Henriques 65-117, 3000-011 Coimbra, Portugal
Rua Padre António Vieira 1, 3000-315 Coimbra, Portugal
Avenida Sá da Bandeira 108, 3000-351 Coimbra, Portugal
Rua Padre António Vieira 26-28, 3000 Coimbra, Portugal
Rua Silvio Lima, 3030-790 Coimbra, Portugal
Travessa Bouça da Cavadinha 154, 4465 São Mamede de Infesta, Portugal
Rua Bouça da Cavadinha 70, 4465 São Mamede de Infesta, Portugal
