rua sarah afonso 218, 4250 porto, portugal
hospital da prelada, 4250-449 porto, rortugal
avenida montenideu 704, 4150-516 porto, portugal
rua dom manuel II 3163, 4050-378 porto, portugal
rua de passos manuel 158, 4000-382 porto, portugal
rua professor álvaro rodrigues 87, 4100 porto, portugal
rua vila franca 913, 4450 leça da palmeira, portugal
rua doutor roberto frias, 4200 porto, portugal
praça dona Maria II 798, 4760-111 vila nova de famalicão, portugal
travessa eixidos 134, 4760-143 vila nova de famalicão, portugal
rua joão pinto ribeiro 5, 3000-228 coimbra, portugal
avenida doutor dias da silva 113-115, 3000-228 coimbra, portugal
avenida dom afonso henriques 65-117, 3000-011 coimbra, portugal
rua padre antónio vieira 1, 3000-315 coimbra, portugal
avenida sá da bandeira 108, 3000-351 coimbra, portugal
rua padre antónio vieira 26-28, 3000 coimbra, portugal
rua silvio Lima, 3030-790 coimbra, portugal
travessa bouça da cavadinha 154, 4465 são mamede de infesta, portugal
rua bouça da cavadinha 70, 4465 são mamede de infesta, portugal
